date,symbol,trade_type,price,target_position,executed_position,units,cash_after_trade,portfolio_value_after_trade
2020-03-31,000852.SH,buy,5468.102685,0.5,0.4981947068847122,91.43939475964687,499850.0,999600.1249375313
2020-05-26,000852.SH,add,5693.245199999999,1.0,1.0,87.77069534489893,0.0,1019777.0967309073
2021-10-20,000852.SH,reduce,7463.6063300000005,0.5,0.5018250556984865,89.64986998726653,668910.6037195033,1337687.2178100673
2021-11-25,000852.SH,add,7941.368699999999,1.0,1.0,84.20588641379749,1.1641532182693481e-10,1379251.093979769
2022-01-21,000852.SH,reduce,7471.022620000001,0.5,0.49705625344477716,86.92651652380027,649235.1422357477,1298340.2360385377
2022-11-22,000852.SH,add,6685.391025,1.0,1.0,97.08339088613229,0.0,1228982.5544788023
2023-04-26,000852.SH,reduce,6574.07132,0.5,0.5017314986851555,92.00749419380129,604682.3696558942,1209243.6152544245
2023-11-21,000852.SH,add,6261.869369999999,1.0,1.0,96.53683007924026,0.0,1179474.0531164454
2024-04-02,000852.SH,reduce,5553.74174,0.5,0.49880133420138134,94.27329503694234,523412.4627539174,1046720.0806432497
2024-11-12,000852.SH,sell,6590.52309,0.0,0.0,94.1790217419054,1143915.2734323419,1143915.2734323419
2025-04-14,000852.SH,buy,5936.956995,0.5,0.5001412403222935,96.3385177285036,571786.0494251561,1143457.8502409193
2025-06-13,000852.SH,add,6177.517215,1.0,1.0,92.53144024717048,-1.1641532182693481e-10,1166164.3346237415
2026-03-26,000852.SH,reduce,7729.83315,0.5,0.49688221918390385,94.48222009788599,730112.6974591358,1460079.1458845856
