symbol,symbol_name,fast_ma,slow_ma,atr_period,atr_ma_window,buy_volatility_cap,vol_breakout_mult,annualized_excess_return,max_drawdown,trade_count,turnover_rate,eligible
000300.SH,沪深300,5,30,14,40,1.05,1.15,0.07046111841475677,-0.2484281375837475,11,15.216208695871583,False
000300.SH,沪深300,5,120,14,40,1.05,1.15,0.021962944389914307,-0.34996714416788544,9,10.26882875704519,False
000300.SH,沪深300,5,250,14,40,1.05,1.15,0.026847261851581816,-0.283701436306265,6,7.28306867984402,False
000300.SH,沪深300,10,30,14,40,1.05,1.15,0.00740545282882743,-0.42353444724431466,7,7.771512179909771,False
000300.SH,沪深300,10,120,14,40,1.05,1.15,0.02875941369138335,-0.39585586081973656,4,4.294521824583774,False
000300.SH,沪深300,10,250,14,40,1.05,1.15,0.03681261901659183,-0.3599058603383597,5,5.5765035154008125,False
000300.SH,沪深300,20,30,14,40,1.05,1.15,0.0424644074546372,-0.36121297960946197,10,12.005235015262903,False
000300.SH,沪深300,20,120,14,40,1.05,1.15,-0.005779653760690451,-0.45602577259234256,4,3.851682276125973,False
000300.SH,沪深300,20,250,14,40,1.05,1.15,0.05097973751735574,-0.3058005026991978,5,5.800895975669757,False
000300.SH,沪深300,30,120,14,40,1.05,1.15,0.02236465559530809,-0.359553263790824,5,5.5198926068163106,False
000300.SH,沪深300,30,250,14,40,1.05,1.15,0.04548024871906753,-0.34347908697075646,3,3.536033741464317,False
